server,service_name,job,avg_service_time
gl2,account-service,oauth_token,0.1069
gl2,account-service,user_getUserInfo,0.0086
gl2,billing-service,address_getAddress,0.0131
gl2,billing-service,address_createAddress,0.0377
gl2,catalog-service,product_getAll,0.0396
gl2,catalog-service,image_get,0.0005
gl2,catalog-service,product_get,0.0168
gl2,catalog-service,review_getAllForProduct,0.0034
gl2,payment-service,payment_getAll,0.1224
gl2,payment-service,payment_create,1.6019
gl2,order-service,cartItem_add,0.1064
gl2,order-service,order_create,1.4065
gl2,order-service,order_getById,0.3025
gl2,order-service,order_previewOrder,0.3772
gl2,order-service,cart_get,0.0352
gl5,account-service,oauth_token,0.1069
gl5,account-service,user_getUserInfo,0.0086
gl5,billing-service,address_getAddress,0.013
gl5,billing-service,address_createAddress,0.0376
gl5,catalog-service,product_getAll,0.0182
gl5,catalog-service,image_get,0.0006
gl5,catalog-service,product_get,0.0063
gl5,catalog-service,review_getAllForProduct,0.0016
gl5,payment-service,payment_getAll,0.0921
gl5,payment-service,payment_create,1.4718
gl5,order-service,cartItem_add,0.0733
gl5,order-service,order_create,1.3877
gl5,order-service,order_getById,0.3024
gl5,order-service,order_previewOrder,0.3646
gl5,order-service,cart_get,0.034
gl6,account-service,oauth_token,0.1069
gl6,account-service,user_getUserInfo,0.0086
gl6,billing-service,address_getAddress,0.0072
gl6,billing-service,address_createAddress,0.0155
gl6,catalog-service,product_getAll,0.0645
gl6,catalog-service,image_get,0.0007
gl6,catalog-service,product_get,0.0412
gl6,catalog-service,review_getAllForProduct,0.0051
gl6,payment-service,payment_getAll,0.1687
gl6,payment-service,payment_create,1.5856
gl6,order-service,cartItem_add,0.0275
gl6,order-service,order_create,1.2508
gl6,order-service,order_getById,0.4666
gl6,order-service,order_previewOrder,0.3264
gl6,order-service,cart_get,0.007
