Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,1.0585165780444836
45,0.4742776099909712
60,0.2367734405560338
75,1.023804060688372
90,0.6498993891933033
105,0.20113400471668016
120,0.3345586340963439
135,0.4495768722742586
150,0.5379582303446168
165,0.7443696526699362
180,0.6418466329512682
195,0.5532410729466947
210,0.5082243675267003
225,0.5800734100562284
240,0.37707816073256756
255,0.3833703691460652
270,0.35823179096452756
285,0.4410965165304951
300,0.40257660479273777
315,0.56614327973871
330,0.19191312225875082
345,0.24560262214927822
360,0.3244873612689441
375,0.40627628456503484
390,0.5398584432059911
405,0.2377320540169276
420,0.31695360896972863
435,0.25716556134413987
450,0.2565566357191439
465,0.10299371759574387
480,0.16869398391925727
495,0.32946560698873495
510,0.2464746650396161
525,0.15875124805895247
540,0.15612695779235175
555,0.22570220096926602
570,0.25815949675694966
585,0.3921658169488457
